source,target,weight
Bingning Wang,Kang Liu 0001,1
Bingning Wang,Jun Zhao 0001,1
Kang Liu 0001,Jun Zhao 0001,1
Dalin Zhang,Lina Yao,1
Dalin Zhang,Kaixuan Chen,1
Dalin Zhang,Sen Wang 0001,1
Lina Yao,Kaixuan Chen,1
Lina Yao,Sen Wang 0001,1
Kaixuan Chen,Sen Wang 0001,1
Han Guo,Juan Cao,1
Han Guo,Yazi Zhang,1
Han Guo,Junbo Guo,1
Han Guo,Jintao Li,1
Han Guo,Tianlang Chen,1
Han Guo,Yuxiao Chen,1
Han Guo,Jiebo Luo,1
Juan Cao,Yazi Zhang,1
Juan Cao,Junbo Guo,1
Juan Cao,Jintao Li,1
Yazi Zhang,Junbo Guo,1
Yazi Zhang,Jintao Li,1
Junbo Guo,Jintao Li,1
Andrés Muñoz Medina,Dong Yin,1
Andrés Muñoz Medina,Sébastien Lahaie,1
Andrés Muñoz Medina,Balasubramanian Sivan,1
Andrés Muñoz Medina,Sergei Vassilvitskii,2
Sergei Vassilvitskii,Dong Yin,1
Sergei Vassilvitskii,Sébastien Lahaie,1
Sergei Vassilvitskii,Balasubramanian Sivan,1
Junqi Zhang,Yiqun Liu 0001,1
Junqi Zhang,Shaoping Ma,1
Junqi Zhang,Qi Tian,1
Yiqun Liu 0001,Qi Tian,1
Yiqun Liu 0001,Shaoyun Shi,1
Yiqun Liu 0001,Xiangsheng Li,1
Yiqun Liu 0001,Zexue He,1
Yiqun Liu 0001,Qingyao Ai,1
Yiqun Liu 0001,W. Bruce Croft,1
Yiqun Liu 0001,Ning Su,1
Yiqun Liu 0001,Zhao Li,1
Yiqun Liu 0001,Yuli Liu,1
Yiqun Liu 0001,Chong Chen,1
Yiqun Liu 0001,Fuli Feng,1
Yiqun Liu 0001,Xiangnan He 0001,1
Yiqun Liu 0001,Liqiang Nie,1
Yiqun Liu 0001,Tat-Seng Chua,1
Yiqun Liu 0001,Mengyang Liu,1
Yiqun Liu 0001,Jiaxin Mao,3
Yiqun Liu 0001,Cheng Luo 0001,1
Yiqun Liu 0001,Min Zhang 0006,5
Yiqun Liu 0001,Shaoping Ma,6
Shaoping Ma,Qi Tian,1
Shaoping Ma,Shaoyun Shi,1
Shaoping Ma,Xiangsheng Li,1
Shaoping Ma,Zexue He,1
Shaoping Ma,Ning Su,1
Shaoping Ma,Zhao Li,1
Shaoping Ma,Yuli Liu,1
Shaoping Ma,Chong Chen,1
Shaoping Ma,Mengyang Liu,1
Shaoping Ma,Jiaxin Mao,2
Shaoping Ma,Cheng Luo 0001,1
Shaoping Ma,Min Zhang 0006,5
Zhuoren Jiang,Liangcai Gao,1
Zhuoren Jiang,Ke Yuan,1
Zhuoren Jiang,Zheng Gao,1
Zhuoren Jiang,Zhi Tang,1
Zhuoren Jiang,Xiaozhong Liu,1
Liangcai Gao,Ke Yuan,1
Liangcai Gao,Zheng Gao,1
Liangcai Gao,Zhi Tang,1
Liangcai Gao,Xiaozhong Liu,1
Ke Yuan,Zheng Gao,1
Ke Yuan,Zhi Tang,1
Ke Yuan,Xiaozhong Liu,1
Zheng Gao,Zhi Tang,1
Zheng Gao,Xiaozhong Liu,1
Zhi Tang,Xiaozhong Liu,1
Xiaozhong Liu,Yingchi Liu,1
Xiaozhong Liu,Quanzhi Li,1
Xiaozhong Liu,Luo Si,1
